
20230211	22:34:02	04910320-9f87-4004-a93c-ae0b916eb1af	/new-page	GET
20230211	22:34:02	27735f70-c3bb-44a9-a764-9c2eb5909ae7	/css/style.css	GET
20230211	22:34:02	e07b02df-d8d4-400c-9b65-213cdf635515	/img/img1.jpg	GET
20230211	22:34:02	6fa1d599-23d4-4eea-8ea6-f60bbbb4afe4	/favicon.ico	GET
20230211	22:43:35	4d152a59-ce7b-4b59-9001-dfae48bf4dc0	/old	GET
20230211	22:43:35	d77dc533-452f-463d-986c-84dc836314cd	/css/style.css	GET
20230211	22:44:05	f8784976-27da-4012-a3d4-f3c3aeae8910	/	GET
20230211	22:44:05	ddfe445b-eb18-4698-be8e-ccbd910afbc0	/css/style.css	GET
20230211	22:47:08	2d02cdd8-84b2-4ce8-9e88-19adaec1d2f6	/data	GET
20230211	22:47:08	0c6e96b3-4cae-4a6c-aa11-3c63fafdab54	/css/style.css	GET
20230211	22:47:44	28f79745-a1b9-47cd-b528-4da4abaaf60b	/data/data.txt	GET
20230211	22:47:55	9babbd0d-2ff7-4ddd-95c6-1baed4f1ca25	/data/data.json	GET
20230211	22:48:52	67f8f705-9e54-4760-a89c-2dff5c7a98d8	/new-page.html	GET
20230211	22:48:52	c28d7db9-ae27-4574-a0ec-ba74fae8cf51	/css/style.css	GET
20230211	22:48:52	4679e3c9-1d9f-489f-9347-c6f76222e7c5	/img/img1.jpg	GET
20230211	23:02:08	4d6234e2-c3fa-498b-9ce2-24ba2ef6f6c0	/new-page.html	GET
20230211	23:02:08	bab9fff3-a880-4149-bcac-87ad1a11662e	/css/style.css	GET
20230211	23:02:08	124c979c-1ecd-465e-b5de-597741bd5d81	/img/img1.jpg	GET
20230211	23:05:09	5c770b67-ced4-4d0d-a612-14bcf743bcd9	/new-page.html	GET
20230211	23:05:09	a67623ed-fa4f-461e-8642-ff7e8f798556	/css/style.css	GET
20230211	23:05:09	413e340f-9499-42b0-807f-290ef70cc469	/img/img1.jpg	GET
20230211	23:05:21	c57fdee7-73fd-414a-b276-e2aa494014b3	/new-page.html	GET
20230211	23:05:21	d876da7c-a1dc-49f7-b3f2-9a8199d50989	/css/style.css	GET
20230211	23:05:21	914dddc0-6a7d-4b74-9e86-b767ece9d96c	/img/img1.jpg	GET
20230211	23:05:22	f7a82d9d-5a4c-460e-800e-ca43c82092d5	/new-page.html	GET
20230211	23:05:22	93f880a5-a8f5-4453-9dc9-d9814a39a1cf	/css/style.css	GET
20230211	23:05:22	333bdafa-9804-4dc3-8172-993d0bc0082b	/img/img1.jpg	GET
20230211	23:05:22	498ae257-eb0c-4614-a9e6-1731fe3e412b	/new-page.html	GET
20230211	23:05:22	c964314b-e92c-4241-88c6-322d8b3730b8	/css/style.css	GET
20230211	23:05:22	64aaddfb-41f6-4472-a430-1449877fc74e	/img/img1.jpg	GET
20230211	23:05:23	aa16fa79-d630-4d08-882c-d87b5952e7e4	/new-page.html	GET
20230211	23:05:23	45ed3d74-58c1-4cd7-b1a6-0a84ebdb1efc	/css/style.css	GET
20230211	23:05:23	c71dee8e-59ac-4f36-a904-9001d0c76ed1	/img/img1.jpg	GET
20230212	21:26:37	0c10479d-025d-41a5-a821-84b3051736b8	/	GET
20230212	21:26:37	d65a2b91-21a7-4f25-9517-1184c819dc97	/css/style.css	GET
20230212	21:26:37	4257b91f-c77e-40d3-86ae-df472cb407a9	/favicon.ico	GET
20230212	21:26:50	36106eb8-2d0a-478b-a75f-3fbc3c355a62	/	GET
20230212	21:26:50	b40390e9-18ad-4729-bbfc-8af60464c397	/css/style.css	GET
20230212	21:27:54	7ec6e01e-9204-4494-b83e-155644715863	/	GET
20230212	21:27:54	a0de61fb-329e-4f83-a45d-e7b7530e4598	/css/style.css	GET
20230214	20:20:49	145054fa-6583-4a62-a616-afe2aba9c99b	GET /
20230214	20:20:49	465a400f-8e78-4b37-b187-34b3b29a3560	GET /css/style.css
20230214	20:22:42	fd196a00-c5e5-4427-98fa-6c456b7dd208	GET	[object Object]
20230214	20:22:42	d009e8d4-0bed-4a77-82a3-3c241f7d2587	GET	[object Object]
20230214	20:22:59	11e5d6be-6d8f-40ce-8e10-1a6bf48ef3d7	GET	undefined
20230214	20:22:59	4d68dc76-8306-4147-a6b5-4fcbbd7ecbf0	GET	undefined
20230214	20:23:33	7775797f-87b5-46d0-8269-8cfb435aaafb	GET	undefined	/
20230214	20:23:33	2a45461f-5f76-490a-8695-b01de95204dd	GET	undefined	/css/style.css
20230214	20:37:14	e5e18cdd-f067-4adb-babf-a786cf407c58	GET	undefined	/
20230214	20:37:14	c9380c26-a0ac-4ab2-9071-ec4399d6622f	GET	undefined	/css/style.css
20230214	20:37:19	93519479-965a-41e9-9bd4-39abd7efd598	GET	undefined	/
20230214	20:37:19	3ac514a6-5232-4b46-9f38-a5e985915258	GET	undefined	/css/style.css
20230214	20:41:48	377ce7ec-2078-45dd-811b-6db13bb85d48	OPTIONS	https://www.google.com	/
20230214	20:41:48	d09a1d7c-775a-4499-9f74-8b4410f54d97	GET	https://www.google.com	/
20230214	20:45:45	9b66ebf0-906b-4986-bafd-e26980825873	OPTIONS	https://www.google.com	/
20230214	20:45:45	cf368ee0-c865-4e59-b062-abf96ac2880b	GET	https://www.google.com	/
20230214	21:03:28	23344044-b0a8-4a52-a58a-046508ccf16f	OPTIONS	https://www.google.com	/
20230214	21:03:28	add2649e-864c-4572-ba79-70f85e49394f	GET	https://www.google.com	/
20230214	21:04:08	41b4ce8b-36c2-4baa-8b3d-b7ca0664a2ed	OPTIONS	https://www.google.com	/
20230214	21:04:08	7efcdf3a-50e1-4a9c-94da-31c6f4a98596	GET	https://www.google.com	/
20230214	21:05:10	90f9590e-8db4-4000-bb7d-99c0fe2b3ae0	OPTIONS	https://www.google.com	/
20230214	21:05:10	8adb2520-9477-4494-96df-5815ee938816	GET	https://www.google.com	/
20230214	21:06:17	3f339b89-648f-4db2-a013-c8c29925380f	OPTIONS	https://www.google.com	/
20230214	21:06:17	ae022fd4-b5a1-4afc-a89a-084aa80e16ec	GET	https://www.google.com	/
20230214	21:07:39	df1cd7b3-66ed-4ab7-8401-b810a71b713b	OPTIONS	https://www.google.com	/
20230214	21:07:39	e9906576-7051-41a9-bc7e-0a3fc920d2bf	GET	https://www.google.com	/
20230214	21:12:12	55393ff6-5ebb-4fe7-82f6-dcbf60388dde	GET	undefined	/
20230214	21:13:10	7b684a4c-e15b-405b-b444-4afe1491857e	GET	undefined	/
20230214	21:13:10	cd3f5fb8-caec-4397-82a0-00ed57246b83	GET	undefined	/css/style.css
20230214	21:24:02	0a235d6d-241d-424c-948c-593769d13380	GET	undefined	/
20230214	21:24:02	f7c28f9f-97a5-4d38-8e5f-baa5d42f1029	GET	undefined	/css/style.css
20230214	21:24:31	3d2c549a-75f9-4ad9-9ca9-af619214ded3	OPTIONS	https://www.google.com	/
20230214	21:24:31	2d9a029a-a049-45c0-a9fd-43d3e3739863	GET	https://www.google.com	/
20230214	21:26:20	5570ca5f-848f-47b4-b9c5-0a05725c3831	OPTIONS	https://www.google.com	/
20230214	21:26:20	5bb1f2fb-a366-456b-ab82-b81d10237a40	GET	https://www.google.com	/
20230214	21:56:40	d37ebaac-26c0-4cf4-88e0-63b0757e6ad9	GET	undefined	/ge
20230214	21:56:40	62bd17b7-b044-4dae-92d6-a173b67d81b5	GET	undefined	/css/style.css
20230217	20:54:28	7e89074d-be36-4831-8a9e-eb11b08403c0	GET	undefined	/
20230217	20:54:28	c99c265f-99ce-4c73-9ed4-421b10d3a9ac	GET	undefined	/css/style.css
20230217	20:54:29	5695c5a2-7207-4432-b64e-13bb791371c1	GET	undefined	/favicon.ico
20230217	20:54:43	93eb1a49-a25d-4086-ba15-deb2a13b2f45	GET	undefined	/lumin.htm
20230217	20:54:43	de3ab62f-cb77-48a9-a0c8-54f69f080442	GET	undefined	/css/style.css
20230217	20:54:53	35129e35-634c-4458-a480-2faf5437a010	GET	undefined	/lumin.json
20230217	20:54:53	b7c7607f-729f-418b-8113-eacebbcd6733	GET	undefined	/css/style.css
20230217	20:55:04	6d417c61-2d26-4328-8393-d68ae7614fc3	GET	undefined	/lumin.txt]
20230217	20:55:04	778e1864-0362-4208-8133-7fe50f0457b2	GET	undefined	/css/style.css
20230217	20:55:27	91e205a9-6860-4152-85ed-889ac2a051ae	GET	undefined	/
20230217	20:55:27	ca291a1e-f83e-49a5-adb6-f91e2961355a	GET	undefined	/css/style.css
20230218	21:24:01	039e6f23-6b19-4dd0-acdc-50287976c088	GET	undefined	/
